t=2026-09-01T16:21:35+0400 lvl=info msg="no configuration paths supplied"
t=2026-09-01T16:21:35+0400 lvl=info msg="using configuration at default config path" path=C:\Users\admin\AppData\Local\ngrok\ngrok.yml
t=2026-09-01T16:21:35+0400 lvl=info msg="open config file" path=C:\Users\admin\AppData\Local\ngrok\ngrok.yml err=<nil>
t=2026-09-01T16:21:35+0400 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-09-01T16:21:35+0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-09-01T16:21:35+0400 lvl=info msg="client session established" obj=tunnels.session
t=2026-09-01T16:21:35+0400 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-09-01T16:21:36+0400 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://satisfied-dipped-tanned.ngrok-free.dev
t=2026-09-01T16:21:40+0400 lvl=info msg=start pg=/api/tunnels id=c608e6acf7a70a7c
t=2026-09-01T16:21:40+0400 lvl=info msg=end pg=/api/tunnels id=c608e6acf7a70a7c status=200 dur=0s
t=2026-09-01T16:22:34+0400 lvl=info msg="join connections" obj=join id=41948db52f26 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:b9bb:6e33:803a:9a40]:55448
t=2026-09-01T16:22:34+0400 lvl=info msg="join connections" obj=join id=6a009d912253 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:b9bb:6e33:803a:9a40]:55451
t=2026-09-01T16:24:41+0400 lvl=info msg="join connections" obj=join id=4e7e8accc8d9 l=127.0.0.1:8000 r=149.154.161.216:40848
t=2026-09-01T16:26:10+0400 lvl=info msg="join connections" obj=join id=4f8aa77cfc69 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:59241
t=2026-09-01T16:26:10+0400 lvl=info msg="join connections" obj=join id=2b483d0103d0 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:59241
t=2026-09-01T16:26:29+0400 lvl=info msg="join connections" obj=join id=7153d6cffe13 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:59241
t=2026-09-01T16:26:48+0400 lvl=info msg="join connections" obj=join id=e9dff21a8762 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:59241
t=2026-09-01T16:27:39+0400 lvl=info msg="join connections" obj=join id=448acb0c63f3 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:59243
t=2026-09-01T16:28:20+0400 lvl=info msg="join connections" obj=join id=dcd317574be7 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:59243
t=2026-09-01T16:28:21+0400 lvl=info msg="join connections" obj=join id=c5a69e1d785d l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:59243
t=2026-09-01T16:28:31+0400 lvl=info msg="join connections" obj=join id=a53d09573eee l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:59243
t=2026-09-01T16:29:10+0400 lvl=info msg="join connections" obj=join id=7d02ce6ba0da l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:59243
t=2026-09-01T16:31:39+0400 lvl=info msg="join connections" obj=join id=f7401d2cd404 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:54900
t=2026-09-01T16:31:39+0400 lvl=info msg="join connections" obj=join id=0d0c0b16c11e l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:54900
t=2026-09-01T16:31:59+0400 lvl=info msg="join connections" obj=join id=068344f99107 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:54900
t=2026-09-01T16:33:41+0400 lvl=info msg="join connections" obj=join id=89e2a6c3450a l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:54900
t=2026-09-01T16:33:41+0400 lvl=info msg="join connections" obj=join id=ec04d47e9c76 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:54900
t=2026-09-01T16:34:16+0400 lvl=info msg="join connections" obj=join id=a9098519cc77 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:54900
t=2026-09-01T16:34:30+0400 lvl=info msg="join connections" obj=join id=49975dfca563 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:54901
t=2026-09-01T16:36:29+0400 lvl=info msg="join connections" obj=join id=d864e81c1ca1 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:54901
t=2026-09-01T16:38:28+0400 lvl=info msg="join connections" obj=join id=a1d06a1b9d53 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:62377
t=2026-09-01T16:38:29+0400 lvl=info msg="join connections" obj=join id=45ec4b0576e0 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:62377
t=2026-09-01T16:40:53+0400 lvl=info msg="join connections" obj=join id=cbd2e813d7c6 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:62378
t=2026-09-01T16:40:54+0400 lvl=info msg="join connections" obj=join id=ba7c2854945a l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:62378
t=2026-09-01T16:41:48+0400 lvl=info msg="join connections" obj=join id=cdc0034114cc l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:62378
t=2026-09-01T16:43:18+0400 lvl=info msg="join connections" obj=join id=67026a600d30 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:62378
t=2026-09-01T16:43:19+0400 lvl=info msg="join connections" obj=join id=bd7719fa2424 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:f196:e075:25c5:427a]:62378
t=2026-09-01T16:45:14+0400 lvl=info msg="join connections" obj=join id=a93d35119e19 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:391b:751d:b555:f8ff]:51925
t=2026-09-01T16:45:15+0400 lvl=info msg="join connections" obj=join id=e21e5c9d1a0b l=127.0.0.1:8000 r=[2001:8f8:1763:b07:391b:751d:b555:f8ff]:51925
t=2026-09-01T16:45:18+0400 lvl=warn msg="failed to open private leg" id=f439f182d366 privaddr=localhost:8000 err="dial tcp [::1]:8000: connectex: No connection could be made because the target machine actively refused it."
t=2026-09-01T16:45:19+0400 lvl=warn msg="failed to open private leg" id=ff7463b2f57d privaddr=localhost:8000 err="dial tcp [::1]:8000: connectex: No connection could be made because the target machine actively refused it."
t=2026-09-01T16:45:25+0400 lvl=info msg="join connections" obj=join id=e72aac1a5ce2 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:391b:751d:b555:f8ff]:51928
t=2026-09-01T16:45:26+0400 lvl=info msg="join connections" obj=join id=4c58f6090b01 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:391b:751d:b555:f8ff]:51928
t=2026-09-01T16:45:50+0400 lvl=info msg="join connections" obj=join id=66285ff0b4c1 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:391b:751d:b555:f8ff]:51928
t=2026-09-01T16:45:50+0400 lvl=info msg="join connections" obj=join id=74f604591bcb l=127.0.0.1:8000 r=[2001:8f8:1763:b07:391b:751d:b555:f8ff]:51928
t=2026-09-01T16:45:57+0400 lvl=info msg="join connections" obj=join id=ad407cf58928 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:391b:751d:b555:f8ff]:51928
t=2026-09-01T16:46:40+0400 lvl=info msg="join connections" obj=join id=571a8e28c5a8 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:391b:751d:b555:f8ff]:51928
t=2026-09-01T16:46:40+0400 lvl=info msg="join connections" obj=join id=6c3e352c0ede l=127.0.0.1:8000 r=[2001:8f8:1763:b07:391b:751d:b555:f8ff]:51928
t=2026-09-01T16:46:53+0400 lvl=info msg="join connections" obj=join id=0f90ed313c09 l=127.0.0.1:8000 r=[2001:8f8:1763:b07:391b:751d:b555:f8ff]:51928
